threads, dimensions, total ops, time, initial, inserts, queries, deletes
1, 2, 3180129, 1.000153, 1000000, 31828, 3148301, 0
1, 2, 2947309, 1.000151, 1000000, 29564, 2917745, 0
1, 2, 3173125, 1.000149, 1000000, 31760, 3141365, 0
1, 2, 3178982, 1.000154, 1000000, 31813, 3147169, 0
1, 2, 3190633, 1.000159, 1000000, 31923, 3158710, 0
1, 2, 2582312, 1.000163, 1000000, 257885, 2324427, 0
1, 2, 2804186, 1.000157, 1000000, 280199, 2523987, 0
1, 2, 2814961, 1.000176, 1000000, 281236, 2533725, 0
1, 2, 2819809, 1.000175, 1000000, 281697, 2538112, 0
1, 2, 2818024, 1.000168, 1000000, 281529, 2536495, 0
1, 2, 15616532, 1.000154, 1000000, 1, 15616531, 0
1, 2, 15617069, 1.000154, 1000000, 1, 15617068, 0
1, 2, 15616319, 1.000149, 1000000, 1, 15616318, 0
1, 2, 15615570, 1.000146, 1000000, 1, 15615569, 0
1, 2, 15616617, 1.000143, 1000000, 1, 15616616, 0
1, 2, 4815530, 1.000134, 1000, 48332, 4767198, 0
1, 2, 4880424, 1.000146, 1000, 49003, 4831421, 0
1, 2, 4945586, 1.000130, 1000, 49659, 4895927, 0
1, 2, 4874521, 1.000146, 1000, 48953, 4825568, 0
1, 2, 4820994, 1.000129, 1000, 48400, 4772594, 0
1, 2, 3473419, 1.000179, 1000, 346956, 3126463, 0
1, 2, 3532471, 1.000151, 1000, 352750, 3179721, 0
1, 2, 3378076, 1.000178, 1000, 337474, 3040602, 0
1, 2, 3462451, 1.000149, 1000, 345832, 3116619, 0
1, 2, 3537365, 1.000177, 1000, 353233, 3184132, 0
1, 2, 15617113, 1.000127, 1000, 1, 15617112, 0
1, 2, 15614789, 1.000142, 1000, 1, 15614788, 0
1, 2, 15596279, 1.000123, 1000, 1, 15596278, 0
1, 2, 15616274, 1.000136, 1000, 1, 15616273, 0
1, 2, 15617152, 1.000121, 1000, 1, 15617151, 0
1, 2, 14633714, 1.000166, 1, 146614, 14487100, 0
1, 2, 14578987, 1.000165, 1, 146094, 14432893, 0
1, 2, 14632491, 1.000161, 1, 146605, 14485886, 0
1, 2, 14583084, 1.000162, 1, 146133, 14436951, 0
1, 2, 14621756, 1.000160, 1, 146492, 14475264, 0
1, 2, 7788676, 1.000185, 1, 778618, 7010058, 0
1, 2, 7610468, 1.000179, 1, 760957, 6849511, 0
1, 2, 7815137, 1.000179, 1, 781342, 7033795, 0
1, 2, 7690558, 1.000170, 1, 768821, 6921737, 0
1, 2, 7821208, 1.000146, 1, 781929, 7039279, 0
1, 2, 15743433, 1.000142, 1, 1, 15743432, 0
1, 2, 15886469, 1.000122, 1, 1, 15886468, 0
1, 2, 15864831, 1.000143, 1, 1, 15864830, 0
1, 2, 15887233, 1.000122, 1, 1, 15887232, 0
1, 2, 15885735, 1.000149, 1, 1, 15885734, 0
