threads, dimensions, total ops, time, initial, inserts, queries, deletes
1, 2, 2381486, 1.000130, 1000000, 23883, 2357603, 0
1, 2, 2391237, 1.000131, 1000000, 23986, 2367251, 0
1, 2, 2387056, 1.000130, 1000000, 23941, 2363115, 0
1, 2, 2390002, 1.000131, 1000000, 23972, 2366030, 0
1, 2, 2383327, 1.000133, 1000000, 23904, 2359423, 0
1, 2, 1493227, 1.000137, 1000000, 149656, 1343571, 0
1, 2, 1485797, 1.000130, 1000000, 148930, 1336867, 0
1, 2, 1492897, 1.000122, 1000000, 149623, 1343274, 0
1, 2, 1487834, 1.000131, 1000000, 149125, 1338709, 0
1, 2, 1488357, 1.000132, 1000000, 149181, 1339176, 0
1, 2, 6385214, 1.000118, 1000000, 1, 6385213, 0
1, 2, 6672671, 1.000116, 1000000, 1, 6672670, 0
1, 2, 6671913, 1.000116, 1000000, 1, 6671912, 0
1, 2, 6670899, 1.000115, 1000000, 1, 6670898, 0
1, 2, 6269318, 1.000116, 1000000, 1, 6269317, 0
1, 2, 3071423, 1.000130, 1000, 30870, 3040553, 0
1, 2, 3261292, 1.000133, 1000, 32737, 3228555, 0
1, 2, 3287840, 1.000123, 1000, 32990, 3254850, 0
1, 2, 3070347, 1.000131, 1000, 30852, 3039495, 0
1, 2, 3064916, 1.000118, 1000, 30812, 3034104, 0
1, 2, 1717834, 1.000132, 1000, 172203, 1545631, 0
1, 2, 1725967, 1.000132, 1000, 173061, 1552906, 0
1, 2, 1573797, 1.000132, 1000, 157597, 1416200, 0
1, 2, 1723617, 1.000134, 1000, 172815, 1550802, 0
1, 2, 1569082, 1.000146, 1000, 157131, 1411951, 0
1, 2, 11734637, 1.000113, 1000, 1, 11734636, 0
1, 2, 11736260, 1.000103, 1000, 1, 11736259, 0
1, 2, 11734685, 1.000120, 1000, 1, 11734684, 0
1, 2, 11734135, 1.000101, 1000, 1, 11734134, 0
1, 2, 11734412, 1.000115, 1000, 1, 11734411, 0
1, 2, 5865766, 1.000129, 1, 58904, 5806862, 0
1, 2, 5878628, 1.000121, 1, 59052, 5819576, 0
1, 2, 5808521, 1.000134, 1, 58329, 5750192, 0
1, 2, 5730244, 1.000131, 1, 57561, 5672683, 0
1, 2, 5693991, 1.000130, 1, 57192, 5636799, 0
1, 2, 2379865, 1.000138, 1, 238593, 2141272, 0
1, 2, 2542142, 1.000137, 1, 254673, 2287469, 0
1, 2, 2386551, 1.000133, 1, 239271, 2147280, 0
1, 2, 2367782, 1.000134, 1, 237318, 2130464, 0
1, 2, 2405558, 1.000135, 1, 241230, 2164328, 0
1, 2, 20482418, 1.000097, 1, 1, 20482417, 0
1, 2, 20826840, 1.000118, 1, 1, 20826839, 0
1, 2, 20831156, 1.000095, 1, 1, 20831155, 0
1, 2, 20777286, 1.000112, 1, 1, 20777285, 0
1, 2, 20826866, 1.000097, 1, 1, 20826865, 0
